topic;words;themes;category;primitives
30;"['buitengewoon' 'weinig' 'thans' 'nachtvorst' 'afwisselende' 'vaak'
 'steeds' 'hedennacht' 'enz' 'vooral' 'bijzonder' 'onstuimig' 'goed'
 'aanhoudene' 'allerschoonst' 'aanzien' 'soms' 'laatste' 'koud' 'hooi'
 'vorige' 'zonneschijn' 'groeizaam' 'maar' 'zwaar' 'eigen' 'veranderlijk'
 'hedenmorgen' 'daarvan' 'opvolgende' 'afwisselend' 'eindelijk' 'ofschoon'
 'staan' 'dooi' 'gaat' 'gevolge' 'droog' 'welhaast' 'vruchtbaar' 'gister'
 'gezond' 'echter' 'zacht' 'zwoel' 'week' 'tothiertoe' 'kleine' 'maand'
 'staat']";30. Weather conditions;1;753
31;"['baudewijn' 'gheseijt' 'houwelick' 'vlaendren' 'graefschaep'
 'vranckrijcke' 'loijs' 'henegauwe' 'thierij' 'margriete' 'sijnen'
 'gravinne' 'vrau' 'guij' 'graef' 'regieringhe' 'bourgoignen' 'vrauw'
 'vlaenderen' 'sijne' 'ferrant' 'traude' 'huijsvrauwe' 'sijn' 'robert'
 'co' 'autsten' 'philips' 'rijsel' 'wedue' 'sone' 'caerle' 'huijsvrouwe'
 'guilliame' 'ghetrauwt' 'gheselschaep' 'forestier' 'ghefondeert'
 'koninck' 'ghemaeckt' 'jerusolem' 'oversulcx' 'commen' 'alsoo' 'grave'
 'succederen' 'cortrijck' 'bauwen' 'voornompt' 'ende']";31. Dynasty;12;728
32;"['lodron' 'vuyt' 'ramoer' 'spaengnaerts' 'knechten' 'walen'
 'hoochduytsche' 'borghers' 'gevanghen' 'soldaten' 'terstont' 'heymelyck'
 'duytsche' 'volck' 'vendelen' 'snachts' 'gebrocht' 'welck' 'spaengiarden'
 'comen' 'lyff' 'qualyck' 'sy' 'geusen' 'droncken' 'comende' 'merckt'
 'mochten' 'levendich' 'spaigniaerts' 'vuyter' 'scuyten' 'gequets'
 'spaengaerden' 'laghen' 'tantwerpen' 'hebbense' 'wech' 'gehanghen'
 'datter' 'ladron' 'stadthuys' 'valencyn' 'nochtans' 'slaen' 'spangers'
 'gescut' 'gehaelt' 'soudaten' 'ysere']";32. War, siege;2;721
33;"['hanswijck' 'solemnele' 'musieck' 'hooghmisse' 'rombouts'
 'metropolitaine' 'rombout' 'misse' 'gesongen' 'solemneel' 'kercke'
 'capittel' 'singen' 'loff' 'kerck' 'processie' 'sermoon' 'reliquien'
 'autaer' 'feestdagh' 'benedictie' 'choor' 'lof' 'eeren' 'sacrament'
 'vesperen' 'clergie' 'gecelebreert' 'eerw' 'gudula' 'collegiale'
 'middagh' 'miraculeus' 'eminentie' 'capelle' 'authaer' 'gewaet' 'wirdt'
 'autaers' 'devotie' 'peeters' 'mechelen' 'vergeselschapt' 'predickheeren'
 'laudamus' 'canonick' 'paters' 'flambeuwen' 'plebaen' 'vrouwe']";33. Religious music, processions;4;679
34;"['farmsum' 'parlementair' 'appingedam' 'batterij' 'kwamen' 'fransen' 'zag'
 'daarna' 'echter' 'delfzijl' 'deed' 'weldra' 'kwam' 'zich' 'had'
 'vesting' 'burgers' 'aanstonds' 'vertrok' 'toen' 'maakte' 'voorposten'
 'naar' 'geplaatst' 'waarop' 'manschappen' 'uur' 'maakten' 'zagen'
 'naderhand' 'stadhuis' 'bezetting' 'kogels' 'gelegenheid' 'inkwartiering'
 'dadelijk' 'aangekomen' 'werd' 'terug' 'batterijen' 'aantal' 'wierd'
 'kapitein' 'kruid' 'verscheidene' 'hetwelk' 'genoodzaakt' 'ging' 'uit'
 'alwaar']";34. Military activity;2;619
35;"['zie' 'bladz' 'purmerende' 'vind' 'kronijk' 'gemeld' 'gesteld' 'deze'
 'vervolg' 'boek' 'regeringe' 'heefd' 'volg' 'purmerend' 'gebouwd'
 'heerlijkheijd' 'amsterd' 'kerk' 'tijd' 'heb' 'dewelke' 'regten' 'holl'
 'octrooij' 'werd' 'burgereij' 'enz' 'welke' 'wijze' 'holland'
 'stadshuijs' 'gemaakt' 'bekend' 'verleend' 'verders' 'kerkelijke' 'oog'
 'vrijheijd' 'naam' 'bladzijde' 'naderhand' 'deszelfs' 'voorgem' 'egmond'
 'daar' 'regt' 'gebruijk' 'artic' 'beschrijving' 'werk']";35. History;14;610
36;"['myne' 'gevoelens' 'welzyn' 'grondregels' 'gy' 'uwe' 'iever' 'verzekeren'
 'zekerheyd' 'my' 'vereysschen' 'vereyscht' 'volkeren' 'vryheyd' 'middels'
 'verzekeringe' 'gerustheyd' 'konnen' 'handhaeven' 'maetregels'
 'vertrouwen' 'eygendommen' 'nootzaekelyk' 'aenzien' 'betrouwen'
 'vaderland' 'inzigten' 'onderdaenen' 'voorwerp' 'natie' 'kloekmoedigheyd'
 'oogwit' 'poogingen' 'oogenblik' 'getrouwigheyd' 'pligten' 'daed' 'wyze'
 'geluk' 'aengezien' 'verdedigen' 'opzigte' 'zaeken' 'verzekert' 'gene'
 'gehoorzaemheyd' 'zult' 'souvereyn' 'belangen' 'zekerlyk']";36. Patriotism;13;600
37;"['vranckrijcke' 'gheseijt' 'gheregiert' 'loijs' 'sijnen' 'regieringhe'
 'co' 'baudewijn' 'succederen' 'ghecroont' 'sone' 'koninck' 'traude'
 'keijser' 'carole' 'houwelick' 'jaere' 'succedeerde' 'coninck' 'regierde'
 'overleedt' 'autsten' 'rijck' 'vercoren' 'ottho' 'robert' 'duijtslandt'
 'huijsvrauwe' 'ghetrauwt' 'roome' 'ghestorven' 'sijne' 'sijn' 'jerusolem'
 'philips' 'graefschaep' 'conijnck' 'innocentius' 'gheboren' 'vlaendren'
 'schodtlandt' 'thierij' 'rijcke' 'bourgoignen' 'caerle' 'philippus'
 'inghelant' 'teghens' 'vranckrijck' 'ghetraut']";37. Throne succession;12;597
38;"['mensen' 'sulcken' 'menschen' 'vruchten' 'bedorven' 'honger'
 'verdroncken' 'sulcke' 'veroorsaeckt' 'vergaen' 'somer' 'hoij' 'beesten'
 'isser' 'aerde' 'velt' 'luijck' 'qualijck' 'tenemael' 'winter' 'sulck'
 'dick' 'swaer' 'coude' 'maese' 'gebreck' 'water' 'windt' 'dieren'
 'kooren' 'wegh' 'gevrosen' 'storven' 'gelijck' 'blixem' 'soodat'
 'duijsende' 'broot' 'schaede' 'crijgen' 'gedencken' 'huysen' 'welck'
 'maestricht' 'coren' 'bevrosen' 'ao' 'sulke' 'uijren' 'beschadicht']";38. Natural disasters;11;585
39;"['maijesteijt' 'bruijssel' 'cattholijcke' 'voorseijde' 'ma' 'keijserlicke'
 'sijne' 'vranckerijcke' 'hoocheijt' 'ontfanghen' 'milaenen' 'eenighe'
 'rodrigo' 'gheselschap' 'kreeghen' 'ghetracteert' 'vuijt' 'ghelijck'
 'vertrock' 'ghearriveert' 'gheselschaep' 'marcquijs' 'expressen' 'sijnen'
 'commen' 'doorluchtich' 'briefven' 'spaingien' 'reijse' 'anden'
 'brijngen' 'eerlick' 'ghesontheijt' 'cavalcata' 'dewelcke' 'daermede'
 'spaignien' 'voorseijt' 'gheresolveert' 'gheschreven' 'marquis'
 'oversulcx' 'ambasadeur' 'conincklicke' 'daeraf' 'castel' 'gheschiede'
 'marcquis' 'vergheselschapt' 'noblesse']";39. Diplomacy;8;577
40;"['municipaliteit' 'roermond' 'had' 'mun' 'zaak' 'gevraagd' 'stadhuis'
 'zou' 'zei' 'niemand' 'waarop' 'kon' 'antwoord' 'denzelfden' 'venlo'
 'verzoek' 'deeze' 'naam' 'geteekend' 'heb' 'verzogt' 'geestelijken'
 'eindelyk' 'bekend' 'maastricht' 'gepresenteerd' 'hetgeen' 'gepubliceerd'
 'opgesteld' 'gedaan' 'kanton' 'betaling' 'niets' 'moest' 'verklaard'
 'wierd' 'geld' 'verzoeken' 'gezegd' 'magistraat' 'daarna' 'regeering'
 'deed' 'naderhand' 'gesteld' 'vragen' 'zeggende' 'werd' 'burgers'
 'iemand']";40. Local politics;3;577
41;"['brand' 'afgebrand' 'schuur' 'ontstond' 'huizen' 'vlam' 'ontstaan'
 'verbrand' 'gebluscht' 'vuur' 'dak' 'staande' 'huizinge' 'bewoond'
 'beschadigd' 'gedeelte' 'geblust' 'naast' 'huis' 'gebouwen' 'brandspuit'
 'gelegd' 'gelukkig' 'boere' 'eigen' 'sloeg' 'buiten' 'woningen' 'geraakt'
 'asch' 'waarvan' 'woning' 'veroorzaakt' 'gebouw' 'eigenaar' 'bewaard'
 'vernield' 'brandschade' 'zwaar' 'plaats' 'geplaatst' 'molen' 'waardoor'
 'naderhand' 'wierd' 'gebrand' 'huisen' 'herberg' 'echter' 'gang']";41. Fire and destruction;11;570
42;"['koijen' 'pinck' 'begraaft' 'koe' 'veers' 'willemsz' 'koebeesten' 'plage'
 'jacobsz' 'sterft' 'decemb' 'weijnigh' 'voorz' 'gekoemen' 'novemb'
 'pestilentale' 'vierige' 'pestilentie' 'kalf' 'naarden' 'aart' 'gijsbert'
 'pietersz' 'maant' 'klaas' 'waarde' 'sieck' 'sterven' 'gerritsz' 'koemen'
 'voornaam' 'schout' 'personen' 'dogh' 'siecke' 'gingh' 'persoen'
 'lambert' 'harmen' 'deses' 'octob' 'beest' 'jansz' 'gerrit' 'swager'
 'hoij' 'hare' 'cornelisz' 'raat' 'zieck']";42. Cow sickness;11;559
43;"['etx' 'dircksen' 'jacopsen' 'soma' 'vandie' 'endie' 'vurts' 'dijckgraeff'
 'pietersen' 'vur' 'uijte' 'indie' 'aendie' 'coomt' 'dwelcke' 'schermer'
 'vroetschappe' 'schepene' 'jansen' 'dirck' 'saeck' 'betaelt' 'opte' 'dur'
 'tgene' 'rijp' 'datte' 'graft' 'verschoten' 'wege' 'eijndelijck' 'tselve'
 'omt' 'gesproocken' 'gecoomen' 'seeckere' 'overt' 'vroetschappen'
 'versochte' 'maerten' 'ick' 'saecke' 'mochte' 'stelle' 'mette' 'enich'
 'jasper' 'getelt' 'soude' 'jacop']";43. Local administration;3;556
44;"['bataillon' 'bezettinge' 'regiment' 'detachement' 'detachementen'
 'bataillons' 'voetvolk' 'civique' 'kompagnie' 'hussaren' 'garnizoen'
 'dragonders' 'grenadiers' 'aengekomen' 'jaegers' 'vertrokken' 'troupen'
 'verdeylinge' 'garde' 'linie' 'krygs' 'kapiteyn' 'militairen'
 'commandant' 'vrywilligers' 'vyand' 'jagers' 'kolonel' 'troepen'
 'ruyterye' 'major' 'arberg' 'kozakken' 'morgend' 'corps' 'husaren'
 'korps' 'officieren' 'trokken' 'luyk' 'peird' 'gecommandeert'
 'vertrekken' 'anderdags' 'volk' 'borgerwacht' 'hollandsche' 'burgerwacht'
 'geleyd' 'marsch']";44. Military troops;2;554
45;"['hemlien' 'spaengiaerts' 'ooc' 'up' 'duuck' 'ghezeijt' 'lettel' 'dwelc'
 'qualic' 'andtweerpen' 'curts' 'ghuesen' 'tandtweerpen' 'ghoet' 'zecht'
 'jeghen' 'dlandt' 'ghues' 'crijschknechten' 'moghelic' 'haerlier'
 'valenchiene' 'zegghende' 'stick' 'ghuesghezinde' 'nauwelic' 'welcx'
 'ghaen' 'melcanderen' 'ghuldenen' 'eldere' 'steerck' 'ghauden'
 'dierghelijcke' 'ghoede' 'westcant' 'zegghen' 'ghane' 'catolijcque'
 'sommighe' 'ghuesche' 'ghaf' 'wart' 'spaengiaert' 'tvolc' 'dijnck'
 'ghoeden' 'alsdoe' 'meinschen' 'mare']";45. Dutch Revolt;2;545
46;"['theresia' 'oostenryk' 'koninglyke' 'josephus' 'hertogh' 'carel'
 'doorluchtigen' 'majesteyt' 'syne' 'maria' 'hoogheyd' 'keyserlyke'
 'leopoldus' 'keyserinne' 'aerts' 'keyser' 'keyzer' 'hongarien' 'koning'
 'saxen' 'christina' 'hertog' 'teschen' 'besworen' 'naem' 'weerdigheyd'
 'nederlanden' 'oostenryck' 'rooms' 'koningh' 'prins' 'doorluchtige'
 'regeringe' 'souvereyn' 'koninglyken' 'synen' 'spagnien' 'alexander'
 'hoedanigheyd' 'koninginne' 'keyzerinne' 'weenen' 'constitutien' 'ryk'
 'bohemen' 'nederland' 'pruyssen' 'philippus' 'haere' 'erfgenaem']";46. International politics;8;530
47;"['danof' 'sommeghe' 'upde' 'sconijncs' 'diverssche' 'ghelijc'
 'uutghelesen' 'causen' 'ooc' 'updat' 'conijnc' 'eeneghe' 'ghepublieert'
 'voornomde' 'mesdaet' 'anderssins' 'spaignaerden' 'metgaders' 'gheweest'
 'up' 'huerlieder' 'dwelck' 'voornomden' 'dierghelijcke' 'ghelijcke'
 'dwelc' 'upden' 'hemlieden' 'moghen' 'ghepuniert' 'es' 'hertoghe'
 'bijden' 'daerup' 'werdene' 'gheordonneert' 'ghecondempneert' 'voortan'
 'ghebuert' 'ghone' 'ghevende' 'eenighe' 'jeghens' 'wesende' 'jnt'
 'ghehouden' 'kuere' 'ghestelt' 'haerlieder' 'gheven']";47. Local administration;3;521
48;"['vloot' 'nederlandse' 'engelse' 'tromp' 'admiraal' 'adm' 'oorlogschepen'
 'vlooten' 'boord' 'oorlog' 'texel' 'kust' 'gevegt' 'oorlogs' 'spaanse'
 'engelsche' 'scheepen' 'fregatten' 'hollandsche' 'strand' 'oorlogschip'
 'geraakten' 'vice' 'vijand' 'vlag' 'scheeps' 'zweeden' 'gezonken' 'maas'
 'gesneuveld' 'had' 'engeland' 'manschap' 'lands' 'lading' 'waar' 'zee'
 'friesland' 'tessel' 'ruijter' 'bestaande' 'koppen' 'vlie' 'schip' 'vlug'
 'bestond' 'vlugt' 'fransen' 'maakten' 'kwam']";48. Naval battles and warships;2;516
49;"['iseghem' 'hilonius' 'kortryk' 'onderpastor' 'heerlykheid' 'heiligen'
 'eindelyk' 'christelyke' 'heilig' 'pastor' 'eeuw' 'zyne' 'rousselaere'
 'frankryk' 'gewyd' 'ingelmunster' 'parochianen' 'doornik' 'heilige'
 'gewag' 'zynen' 'hetwelk' 'wereld' 'jaerlyks' 'zyner' 'twyfel' 'kon'
 'altyd' 'goddelyke' 'bezat' 'tyd' 'bisschoppelyke' 'parochiekerk'
 'kanonik' 'gesticht' 'had' 'iever' 'inwoners' 'bediend' 'kruis' 'wierd'
 'nauwelyks' 'zich' 'naderhand' 'zou' 'byzondere' 'schynt' 'tydstip'
 'moniken' 'deugden']";49. Religious institutions and clergy;4;515
50;"['dijken' 'vloed' 'gevaar' 'dijk' 'doorbraak' 'overstroomd' 'plaatsen'
 'waardoor' 'beschadigd' 'huizen' 'water' 'zeewater' 'watervloed' 'gaten'
 'zeedijk' 'golven' 'doorgebroken' 'gedeelte' 'zeedijken' 'vloeden'
 'storm' 'heen' 'brak' 'dyk' 'plaatzen' 'echter' 'hoogte' 'veroorzaakt'
 'verbazende' 'dyken' 'vernield' 'aanmerkelijke' 'gat' 'aangebragt'
 'verdronken' 'bevrijd' 'paalwerk' 'gered' 'gezonken' 'vergaan' 'laag'
 'zwaare' 'paal' 'schadens' 'gelukkig' 'verscheidene' 'gehele' 'omgekomen'
 'bewaard' 'geraakte']";50. Floods and dike breeches;11;514
51;"['ghebeurt' 'eenijghe' 'ghevonden' 'gheleijt' 'vrauwe' 'ghestelt'
 'commende' 'commen' 'gheopent' 'eenighe' 'dewelcke' 'ghesteken'
 'afghesneden' 'ghegaen' 'alsoo' 'aprijl' 'ghenomen' 'ghecommen' 'cleene'
 'volck' 'oock' 'opden' 'datter' 'ghelijck' 'dijversche' 'wederomme'
 'gheweest' 'ghewelt' 'jully' 'connen' 'conijnck' 'oorsaecke' 'cleen'
 'gheworpen' 'borghers' 'midts' 'seere' 'segghende' 'gheen' 'ghedaen'
 'ghequetst' 'eijghen' 'gonne' 'conden' 'ghebrocht' 'maecken' 'ghedoot'
 'uuijt' 'quaet' 'ghetrocken']";51. Violent events and confrontations;2;510
52;"['bekend' 'gelegenheid' 'had' 'naam' 'daartoe' 'naderhand' 'gebruik'
 'werd' 'wierd' 'toen' 'kerk' 'einde' 'aan' 'echter' 'laatste' 'gemaakt'
 'zaak' 'gesteld' 'plaats' 'deeze' 'tijd' 'eigen' 'gedaan' 'geplaatst'
 'bestuur' 'buiten' 'aldaar' 'deed' 'welke' 'thans' 'naar' 'daarna' 'wijl'
 'daarvan' 'uit' 'bestaan' 'leeuwarden' 'enz' 'maandag' 'waar' 'vergaderd'
 'gaan' 'deze' 'daarin' 'zie' 'maar' 'aanzienlijke' 'stad' 'daar'
 'oorzaak']";52. History and development of a city;14;507
53;"['vrankrijk' 'engeland' 'oorlog' 'frankrijk' 'koning' 'vrankryk' 'verbond'
 'vreede' 'tractaat' 'republiek' 'spanje' 'mogendheden' 'rijk' 'algemeene'
 'frankryk' 'volkeren' 'spanjen' 'vereenigde' 'rusland' 'europa' 'ryk'
 'holland' 'grondgebied' 'magt' 'keizer' 'mogentheden' 'zweeden'
 'onderdanen' 'nederland' 'geteekend' 'koningen' 'oorlogs' 'verklaard'
 'vaderland' 'pruissen' 'america' 'oostenrijk' 'zaak' 'keijzer'
 'omwenteling' 'gezag' 'stilstand' 'tractaten' 'staat' 'pruisen' 'belgien'
 'amerika' 'koophandel' 'regering' 'constitutie']";53. War and political relations in Europe;8;506
54;"['paus' 'vercoren' 'innocentius' 'roome' 'romeijn' 'clemens' 'gregorius'
 'pausen' 'pausdom' 'regierde' 'succederen' 'roomen' 'pontificat'
 'regieringhe' 'urbanus' 'romijn' 'leo' 'benedictus' 'stoel' 'gheregiert'
 'romeijnen' 'gheboren' 'joannes' 'cardinaelen' 'bonifacius' 'regeerde'
 'ghestorven' 'wirdt' 'keijser' 'sijnen' 'duijtslandt' 'cardinael'
 'adrianus' 'iv' 'constantinus' 'maenden' 'ghecroont' 'gekosen' 'jaere'
 'ghecoren' 'gheleert' 'vacant' 'overleedt' 'cardinalen' 'ottho'
 'jerusolem' 'saecken' 'vranckrijcke' 'doge' 'deughden']";54. Popes;4;496
55;"['gene' 'vereysschen' 'verklaeren' 'vereyscht' 'myne' 'directelyk'
 'zaeken' 'grondregels' 'welzyn' 'verzekeren' 'konnen' 'opzigte'
 'tegenstrydig' 'aenzien' 'nootzaekelyk' 'zekerheyd' 'onderdaenen'
 'constitutie' 'maetregels' 'verzekeringe' 'gevoelens' 'majesteyt'
 'wetten' 'schikkingen' 'aengezien' 'uwe' 'handhaeven' 'bepaelen' 'gy'
 'wyze' 'gezeyde' 'tegenwoordige' 'zal' 'gezaementlyk' 'constitutien'
 'uytwerkinge' 'eygendommen' 'voorwerp' 'uytstel' 'souvereyn' 'my'
 'middels' 'wy' 'zullen' 'bepaelt' 'voorafgaende' 'zaeke' 'inkomste'
 'vertrouwen' 'verzekert']";55. Ground rules, laws and constitutions;3;495
56;"['staaten' 'deezer' 'regeering' 'deeze' 'deezen' 'hunner' 'welke' 'haare'
 'derzelver' 'stad' 'ingezetenen' 'raad' 'generaal' 'einde' 'lands'
 'echter' 'mog' 'aangesteld' 'weezen' 'omtrend' 'gesteld' 'magistraat'
 'verdere' 'bekend' 'zaaken' 'reeds' 'ingezeetenen' 'verzogt' 'aan' 'zaak'
 'verzoek' 'burgers' 'gelegenheid' 'zoodanige' 'laaten' 'daartoe'
 'publicatie' 'zodanige' 'gelast' 'had' 'gezag' 'wijze' 'zig' 'geene'
 'naam' 'geschied' 'hoogheid' 'waar' 'wyders' 'overige']";56. Administration, government and public affairs;3;490
57;"['solemnele' 'gecelebreert' 'peeters' 'plebaen' 'misse' 'kerke'
 'hooghmisse' 'sermoon' 'solemnelyk' 'solemneel' 'heyligh' 'eerwaarde'
 'sondagh' 'lof' 'feestdagh' 'musieck' 'parochiale' 'gepredikt'
 'mindebroeders' 'communie' 'gewese' 'gesongen' 'singen' 'processie'
 'eerw' 'sacrament' 'autaers' 'autaer' 'predikheeren' 'gudula'
 'geertruyden' 'missen' 'capittel' 'toeloop' 'gezongen' 'capucienen'
 'heylige' 'capitel' 'middagh' 'collegiale' 'gedraegen' 'octave'
 'parochie' 'gewesen' 'alderheyligste' 'rombouts' 'celebreren' 'kercke'
 'dagh' 'vrouwe']";57. Religious ceremonies;4;487
58;"['had' 'dadelyk' 'gesprongen' 'geraekt' 'dood' 'fabriek' 'morgend'
 'gekwetst' 'lyk' 'ongeluk' 'genaemd' 'terwyl' 'werkman' 'kind' 'zich'
 'wierd' 'verdronken' 'verzekerd' 'weynige' 'brand' 'gevonden' 'gevat'
 'werk' 'ongelukkige' 'gered' 'schynt' 'ongelukkigen' 'kleyne' 'insgelyks'
 'zoodanig' 'geworpen' 'werken' 'beschadigd' 'byloke' 'gevaer'
 'werklieden' 'naderhand' 'pistool' 'bragt' 'vuur' 'gebleven' 'vroeg'
 'tyd' 'pompiers' 'vond' 'katoen' 'gedragen' 'militairen' 'citadel' 'hand']";58. Fires, accidents and rescue operations;11;482
59;"['suster' 'comissarius' 'nonne' 'mertens' 'godtshuyse' 'priorinne'
 'bethanien' 'iiij' 'xviij' 'magdalena' 'prior' 'iij' 'convente' 'out'
 'xvic' 'godtshuys' 'geheeten' 'xxiiij' 'xxx' 'xiij' 'xxviij' 'mater'
 'xvij' 'convent' 'xxiij' 'inden' 'xxv' 'xxij' 'viij' 'xix' 'xiiij'
 'religien' 'sterf' 'vij' 'xij' 'professie' 'januario' 'wesende' 'gecleet'
 'elst' 'xvj' 'habijt' 'inder' 'bruyt' 'totten' 'elisabeth' 'xv'
 'susteren' 'onsen' 'werelt']";59. Nuns, priors and monastic orders;4;478
60;"['spagnien' 'hertogh' 'vranckrijck' 'oorlogh' 'stirf' 'philippus' 'carel'
 'vranckryck' 'koningh' 'engelandt' 'spanien' 'rooms' 'koninck'
 'houwelijck' 'carolus' 'ludovicus' 'coninginne' 'geboren' 'theresia'
 'erfgenaem' 'savoijen' 'rijck' 'savoyen' 'princesse' 'coningh'
 'ghetrauwt' 'elisabeth' 'koninginne' 'hongarien' 'maria' 'coninck'
 'hartogh' 'sone' 'soon' 'bohemen' 'syn' 'vranckryk' 'beijeren' 'prins'
 'vrouwe' 'conijnck' 'coning' 'getrouwt' 'margareta' 'keijser' 'dochter'
 'koning' 'denemarcken' 'haeren' 'spaeignen']";60. Royal marriages and political alliances;8;472
61;"['vranckryck' 'hertoge' 'lodewyck' 'keyser' 'stierff' 'coninck' 'sterff'
 'oostenryck' 'ryck' 'hertogh' 'vuyt' 'spaengnien' 'huysvrouwe'
 'vranckrijck' 'keysers' 'synen' 'spagnien' 'carel' 'philippus' 'sone'
 'ierste' 'iaer' 'syn' 'coninginne' 'soene' 'anno' 'gecoren' 'synde'
 'soone' 'welck' 'syns' 'maximiliaen' 'peys' 'carolus' 'quamp' 'hartoge'
 'tydt' 'savoyen' 'genoempt' 'dyen' 'koninck' 'spanien' 'conincx'
 'genaempt' 'geheeten' 'castilien' 'beyeren' 'gecroont' 'dochter'
 'maximilianus']";61. Deaths of kings in Europe;8;468
62;"['patrioticq' 'verbreijt' 'voorseker' 'seffens' 'menige' 'goon' 'saeg'
 'genoegsaem' 'besetting' 'teweeg' 'fijgen' 'verscheijde' 'hooftwagt'
 'patrouillien' 'aenkomen' 'naermiddag' 'oorloog' 'temeer' 'eerstdaegs'
 'verneemt' 'veroorsakt' 'zoodaenig' 'reets' 'nationeele' 'gemakt' 'zaeg'
 'zoogenaemde' 'vranrijk' 'duijsenden' 'vrijdagmart' 'besettinge'
 'vaderlanders' 'oorsaek' 'jongers' 'nauwelijcks' 'mart' 'troupen'
 'volontaire' 'gaset' 'toegekomen' 'alom' 'disorders' 'vaderlandts'
 'heelen' 'teenemael' 'provencie' 'martdag' 'hetzelve' 'zoud' 'gemoederen']";62. Patriotism, popular uprisings and unrest;7;466
63;"['schaatsen' 'schaatzen' 'ijs' 'gebruikt' 'sleed' 'schaatsrijden'
 'gebruiken' 'dooi' 'vaarten' 'scheepvaart' 'sneeker' 'vriezen' 'paard'
 'echter' 'dagelijks' 'vaart' 'thans' 'daardoor' 'aanhoudene' 'gebruik'
 'dewijl' 'vaak' 'gevroren' 'straatweg' 'steeds' 'vooral' 'maar'
 'aangekondigd' 'dokkum' 'aangevoerd' 'sterk' 'wijl' 'reed' 'marktdag'
 'vorst' 'eigen' 'daarmede' 'sleden' 'daarvan' 'zwak' 'mogelijk' 'bijkans'
 'nachtvorst' 'harlingen' 'leeuwarden' 'hard' 'moeite' 'sneek' 'reizen'
 'waardoor']";63. Ice skating and winter conditions;1;461
64;"['ordonantie' 'geaffixeert' 'hallegebode' 'afgekondigt' 'placaete'
 'trommelinge' 'ordonantien' 'degone' 'eenider' 'vanwegens' 'behelsende'
 'gemakt' 'geordoneert' 'gelijckelijk' 'bekentmaekinge' 'degene'
 'publicke' 'zullende' 'municipaliteijt' 'voorkomen' 'besluijt'
 'diesaengaende' 'tenzij' 'behelst' 'gaset' 'patrouillien' 'aengekondigt'
 'borgerlijcke' 'zoogenaemde' 'toekomende' 'waerbij' 'orders'
 'hoegenaemde' 'vermogen' 'eerstdaegs' 'zullen' 'uijtvoer' 'zal'
 'swaerdekens' 'toegesonden' 'stadthuijs' 'noodig' 'gevolgentlijk'
 'assignaten' 'hetzelve' 'elk' 'daegelijcks' 'konnen' 'genoegsaem'
 'worden']";64. Implementation and promulgation of laws and decrees;3;460
65;"['terwe' 'rogge' 'haver' 'stuyvers' 'gulden' 'stuijvers' 'stuyver'
 'haever' 'broot' 'vat' 'advenant' 'coren' 'sack' 'gerst' 'gerste' 'pont'
 'erten' 'stuijver' 'blancken' 'graen' 'dierder' 'oort' 'tarwe' 'rog'
 'kaes' 'bodd' 'garst' 'cocht' 'mudde' 'halven' 'kooren' 'malder' 'boonen'
 'roggen' 'golt' 'gl' 'bier' 'schellingen' 'booter' 'gelt' 'stuivers'
 'goldt' 'tarw' 'prijs' 'pondt' 'daelder' 'pond' 'vercocht' 'boter'
 'dierte']";65. Prices and trade of grain, bread, dairy products;6;458
66;"['alderheijligste' 'godtvrugtige' 'plichtige' 'afgesongen' 'pligtige'
 'eerweerdigsten' 'omgedregen' 'vanuijt' 'roosencrans' 'pligtigheijd'
 'naermiddag' 'eerweerde' 'heijlig' 'heijlige' 'verselt' 'ommegang'
 'musik' 'misse' 'feestdag' 'voorop' 'hoogmisse' 'parochiale' 'menige'
 'almogenden' 'walburge' 'goddelijcke' 'capucinen' 'cathedraele'
 'processien' 'dees' 'lesende' 'degene' 'saeg' 'bijwesen' 'gedregen'
 'lijkdienst' 'autaeren' 'luijster' 'segen' 'alsof' 'solemnele'
 'behalvens' 'voorspraek' 'toer' 'gelijckelijk' 'wordende' 'gewonen'
 'processie' 'confraters' 'uijtvoer']";66. Religious devotion and practices;4;457
67;"['lankhorst' 'saake' 'saaken' 'strandrooff' 'judicatuure' 'raade'
 'sustenue' 'boelhuismeester' 'misdaad' 'uedel' 'zeevonden'
 'dagvaardingen' 'procedures' 'regten' 'saak' 'overigheid' 'missives'
 'uitspraak' 'deezen' 'integrerende' 'souvrain' 'mogenden' 'beslote'
 'gedagvaart' 'blijkt' 'gijseling' 'justitie' 'relatie' 'stemmende'
 'magistraat' 'procedeeren' 'welgemelde' 'condemnatie' 'suppliant'
 'brielle' 'politicque' 'authoriteit' 'beveelen' 'besloote' 'gunt'
 'geensints' 'kragte' 'verschuldigt' 'conform' 'zaake' 'zaaken'
 'soodanige' 'resolutien' 'zulx' 'tegendeel']";67.   Legal procedures and case law;3;453
